module                                              classDoc        propDoc           uxStrings[de] 
gws.plugin.annotate_tool.action                      33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.auth_method                                 -            100.0% (5/5)         -          
gws.plugin.auth_method.basic                         50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.auth_method.token                         50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.auth_method.web.action                    33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.auth_method.web.core                      40.0% (2/5)     66.7% (6/9)       40.0% (2/5)  
gws.plugin.auth_mfa                                    -            100.0% (2/2)         -          
gws.plugin.auth_mfa.email                            50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.auth_mfa.totp                             50.0% (1/2)       -               50.0% (1/2)  
gws.plugin.auth_provider                               -            100.0% (2/2)         -          
gws.plugin.auth_provider.file                        50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.auth_provider.ldap                        75.0% (3/4)    100.0% (14/14)     75.0% (3/4)  
gws.plugin.auth_session_manager                        -            100.0% (1/1)         -          
gws.plugin.auth_session_manager.sqlite               50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.csv_helper                                66.7% (2/3)    100.0% (8/8)       66.7% (2/3)  
gws.plugin.dimension                                 33.3% (1/3)     62.5% (5/8)      100.0% (3/3)  
gws.plugin.email_helper                              66.7% (2/3)    100.0% (9/9)       66.7% (2/3)  
gws.plugin.exporter                                    -            100.0% (2/2)         -          
gws.plugin.exporter.shapefile                        66.7% (2/3)       -               33.3% (1/3)  
gws.plugin.gbd_geoservices                             -            100.0% (2/2)         -          
gws.plugin.gbd_geoservices.finder                    50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.gbd_geoservices.model                    100.0% (2/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.gekos                                       -            100.0% (1/1)         -          
gws.plugin.gekos.action                              66.7% (2/3)    100.0% (4/4)       33.3% (1/3)  
gws.plugin.gekos.cli                                 50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.gekos.core                               100.0% (3/3)    100.0% (12/12)    100.0% (3/3)  
gws.plugin.geojson                                     -            100.0% (3/3)         -          
